District,Name,OppToBallot,Party,Votes
3rd  Senate District,"John M. De Vito, Jr.",,DEM,1390
3rd  Senate District,Joseph L. Fritz,,DEM,1012
3rd  Senate District,Ricardo Montano,,DEM,898
9th  Senate District,Todd Kaminsky,OPP. TO BALLOT,GRE,16
10th  Senate District,"James Sanders, Jr.",,DEM,5495
10th  Senate District,Adrienne E. Adams,,DEM,3988
16th  Senate District,Toby Ann Stavisky,,DEM,5690
16th  Senate District,S. J. Jung,,DEM,3966
18th  Senate District,Debbie Medina,,DEM,3988
18th  Senate District,Martin Malave Dilan,,DEM,5844
19th  Senate District,Mercedes Narcisse,,DEM,3284
19th  Senate District,Roxanne J. Persaud,,DEM,10358
25th  Senate District,Michael G. Cox,,DEM,4719
25th  Senate District,Velmanette Montgomery,,DEM,10579
28th  Senate District,Michael Zumbluskas,OPP. TO BALLOT,WEP,2
31st  Senate District,Robert Jackson,,DEM,7936
31st  Senate District,Marisol Alcantara,,DEM,8469
31st  Senate District,Micah Lasher,,DEM,8175
31st  Senate District,Luis Tejada,,DEM,1316
32nd  Senate District,"Ruben Diaz, Sr.",,DEM,8557
32nd  Senate District,Elliot Quinones,,DEM,1069
33rd  Senate District,J. Gustavo Rivera,,DEM,6036
33rd  Senate District,Fernando Cabrera,,DEM,3549
36th  Senate District,Edward A. Mulraine,,DEM,2503
36th  Senate District,Jamaal T. Bailey,,DEM,8629
36th  Senate District,Alvin Ponder,,DEM,932
36th  Senate District,Pamela A. Hamilton-Johnson,,DEM,2270
36th  Senate District,Que English,,DEM,1175
39th  Senate District,Aron B. Weider,OPP. TO BALLOT,WOR,16
39th  Senate District,John Allegro,OPP. TO BALLOT,WOR,2
39th  Senate District,Void,OPP. TO BALLOT,WOR,1
39th  Senate District,Malick Carmilla,OPP. TO BALLOT,WOR,1
39th  Senate District,Christopher W. Eachus,OPP. TO BALLOT,WEP,3
39th  Senate District,Void,OPP. TO BALLOT,WEP,2
40th  Senate District,Andrew I. Falk,,DEM,1179
40th  Senate District,Alison Boak,,DEM,4344
41st  Senate District,Kevin McCarthy,OPP. TO BALLOT,GRE,11
41st  Senate District,Terry Gipson,OPP. TO BALLOT,GRE,47
42nd  Senate District,Pramilla Mallick,OPP. TO BALLOT,DEM,2517
42nd  Senate District,John Bonacic,OPP. TO BALLOT,DEM,218
42nd  Senate District,Zephyr Teachout,OPP. TO BALLOT,DEM,14
42nd  Senate District,Hillary Clinton,OPP. TO BALLOT,DEM,3
42nd  Senate District,Frank Commando,OPP. TO BALLOT,DEM,1
42nd  Senate District,Elliot Auerbach,OPP. TO BALLOT,DEM,1
42nd  Senate District,Ted Reiss,OPP. TO BALLOT,DEM,1
42nd  Senate District,Philip Schuyler,OPP. TO BALLOT,DEM,1
42nd  Senate District,Maria Rashak,OPP. TO BALLOT,DEM,1
42nd  Senate District,Matthew Scott,OPP. TO BALLOT,DEM,1
42nd  Senate District,Kevin Hendrix,OPP. TO BALLOT,DEM,1
42nd  Senate District,Linda M. Ziwich,OPP. TO BALLOT,DEM,1
42nd  Senate District,Maurice Hinchey,OPP. TO BALLOT,DEM,1
42nd  Senate District,Void,OPP. TO BALLOT,DEM,101
42nd  Senate District,Charles Schumer,OPP. TO BALLOT,DEM,15
42nd  Senate District,John Allegro,OPP. TO BALLOT,DEM,6
42nd  Senate District,James O'Donnell,OPP. TO BALLOT,DEM,6
42nd  Senate District,Krystal Serrano,OPP. TO BALLOT,DEM,6
42nd  Senate District,Phil Canterino,OPP. TO BALLOT,DEM,5
42nd  Senate District,Steven Brockett,OPP. TO BALLOT,DEM,4
42nd  Senate District,Karl Brabenec,OPP. TO BALLOT,DEM,3
42nd  Senate District,William Larkin,OPP. TO BALLOT,DEM,2
42nd  Senate District,Robert Freehill,OPP. TO BALLOT,DEM,2
42nd  Senate District,Paul Boese,OPP. TO BALLOT,DEM,1
42nd  Senate District,Howard Weiss,OPP. TO BALLOT,DEM,1
42nd  Senate District,Janice Buicouit,OPP. TO BALLOT,DEM,1
42nd  Senate District,James Skouoff,OPP. TO BALLOT,DEM,1
42nd  Senate District,James Soutous,OPP. TO BALLOT,DEM,1
42nd  Senate District,Greg Willems,OPP. TO BALLOT,DEM,1
42nd  Senate District,Roy Karp,OPP. TO BALLOT,DEM,1
42nd  Senate District,John J. Reuter,OPP. TO BALLOT,DEM,1
42nd  Senate District,Anita Rhozinski,OPP. TO BALLOT,DEM,1
42nd  Senate District,Timohty Powers,OPP. TO BALLOT,DEM,1
42nd  Senate District,Charley Ryn,OPP. TO BALLOT,DEM,1
42nd  Senate District,John Smith,OPP. TO BALLOT,DEM,1
42nd  Senate District,Michele Addpho,OPP. TO BALLOT,DEM,1
42nd  Senate District,Todd Kamisky,OPP. TO BALLOT,DEM,1
42nd  Senate District,William Larsen,OPP. TO BALLOT,DEM,1
42nd  Senate District,Gerald E. Gray,OPP. TO BALLOT,DEM,1
42nd  Senate District,Pantel Malick,OPP. TO BALLOT,DEM,1
42nd  Senate District,Dan Hart,OPP. TO BALLOT,DEM,1
42nd  Senate District,Parmella Kannish,OPP. TO BALLOT,DEM,1
42nd  Senate District,Ninelle Allen-Irby,OPP. TO BALLOT,DEM,1
42nd  Senate District,Tiamilla Mallick,OPP. TO BALLOT,DEM,1
42nd  Senate District,Rosary Cartino,OPP. TO BALLOT,DEM,1
42nd  Senate District,Patricia Midick,OPP. TO BALLOT,DEM,1
42nd  Senate District,Ron Paul,OPP. TO BALLOT,DEM,1
42nd  Senate District,Robert Kriner,OPP. TO BALLOT,DEM,1
42nd  Senate District,Prima Mallica,OPP. TO BALLOT,DEM,1
42nd  Senate District,Christin Malick,OPP. TO BALLOT,DEM,1
42nd  Senate District,Manolin Tirado,OPP. TO BALLOT,DEM,1
42nd  Senate District,Greg Fisher,OPP. TO BALLOT,DEM,1
42nd  Senate District,Anna Throne Holst,OPP. TO BALLOT,DEM,1
42nd  Senate District,Mary Louise Mallick,OPP. TO BALLOT,DEM,1
42nd  Senate District,Naomi Miller,OPP. TO BALLOT,DEM,1
42nd  Senate District,Randy Hurst,OPP. TO BALLOT,DEM,1
42nd  Senate District,Thomas Brunelli,OPP. TO BALLOT,DEM,1
42nd  Senate District,Barack Obama,OPP. TO BALLOT,DEM,1
42nd  Senate District,Bernie Sanders,OPP. TO BALLOT,DEM,1
42nd  Senate District,Wendy Long,OPP. TO BALLOT,DEM,1
42nd  Senate District,Kristen Gillibrand,OPP. TO BALLOT,DEM,1
46th  Senate District,Sara Niccoli,OPP. TO BALLOT,GRE,48
46th  Senate District,"George Amedore, Jr.",OPP. TO BALLOT,GRE,63
46th  Senate District,Glenn Raymus,OPP. TO BALLOT,GRE,1
46th  Senate District,Marina Karuma-Seales,OPP. TO BALLOT,GRE,12
46th  Senate District,Maurice Hinchey,OPP. TO BALLOT,GRE,1
49th  Senate District,James N. Tedisco,,REP,9010
49th  Senate District,"Christian Klueg, II",,REP,5429
54th  Senate District,Floyd G. Rayburn,,REP,3735
54th  Senate District,Pamela A. Helming,,REP,3945
54th  Senate District,Brian D. Manktelow,,REP,2123
54th  Senate District,Jon Ritter,,REP,952
54th  Senate District,Sean T. Hanna,,REP,1370
54th  Senate District,Floyd Rayburn,OPP. TO BALLOT,REF,4
57th  Senate District,Lee Hyson,OPP. TO BALLOT,REF,10
60th  Senate District,Amber A. Small,,DEM,7348
60th  Senate District,Alfred T. Coppola,,DEM,3712
60th  Senate District,Christopher L. Jacobs,,REP,4902
60th  Senate District,Kevin T. Stocker,,REP,1586
61st  Senate District,Thomas A. Loughran,,WOR,46
61st  Senate District,Andre N. Liszka,,WOR,13
61st  Senate District,Opportunity To Ballot,OPP. TO BALLOT,REF,0
6th  Assembly District,Giovanni A. Mata,,DEM,746
6th  Assembly District,Philip Ramos,,DEM,2012
10th  Assembly District,Chad A. Lupinacci,OPP. TO BALLOT,WOR,95
11th  Assembly District,Kimberly Jean-Pierre,,DEM,1411
11th  Assembly District,"Jordan K. Wilson, Jr.",,DEM,394
11th  Assembly District,Shawn Cullinane,OPP. TO BALLOT,REP,624
11th  Assembly District,Kimberly Jean-Pierre,OPP. TO BALLOT,REP,26
11th  Assembly District,Kimberly Jean-Pierre,OPP. TO BALLOT,REF,6
18th  Assembly District,Earlene Hooper,,DEM,2271
18th  Assembly District,Carmen J. Pineyro,,DEM,1513
20th  Assembly District,Anthony P. Eramo,,DEM,3006
20th  Assembly District,Jeffrey W. Toback,,DEM,1305
29th  Assembly District,Linda Guillebeaux,,DEM,270
29th  Assembly District,Lorraine Bridges,,DEM,888
29th  Assembly District,Alicia L. Hyndman,,DEM,3057
30th  Assembly District,Brian Barnwell,,DEM,1710
30th  Assembly District,Margaret M. Markey,,DEM,1082
32nd  Assembly District,Vivian E. Cook,,DEM,4021
32nd  Assembly District,Rodney Reid,,DEM,1141
33rd  Assembly District,Clyde Vanel,,DEM,1822
33rd  Assembly District,Nantasha Williams,,DEM,1590
33rd  Assembly District,Bryan J. Block,,DEM,1402
33rd  Assembly District,Roy Paul,,DEM,599
33rd  Assembly District,Sabine French,,DEM,204
42nd  Assembly District,Rodneyse Bichotte,,DEM,2471
42nd  Assembly District,Victor A. Jordan,,DEM,666
44th  Assembly District,Robert C. Carroll,,DEM,6031
44th  Assembly District,R. M. Curry-Smithson,,DEM,369
44th  Assembly District,Troy Odendhal,,DEM,299
46th  Assembly District,Pamela Harris,,DEM,3234
46th  Assembly District,Katie A. Cucco,,DEM,2040
46th  Assembly District,Lucretia Regina Potter,OPP. TO BALLOT,CON,10
46th  Assembly District,Unattributable,OPP. TO BALLOT,CON,1
46th  Assembly District,Lucretia Regina-Potter,OPP. TO BALLOT,REF,2
46th  Assembly District,Mark Treyger,OPP. TO BALLOT,REF,1
48th  Assembly District,Abraham Tischler,OPP. TO BALLOT,REP,1
48th  Assembly District,Angdor Miller,OPP. TO BALLOT,REP,1
48th  Assembly District,Antonio Fosamo,OPP. TO BALLOT,REP,1
48th  Assembly District,Auroltom Sofer,OPP. TO BALLOT,REP,1
48th  Assembly District,Barnes Carew,OPP. TO BALLOT,REP,1
48th  Assembly District,Boris Pinkus,OPP. TO BALLOT,REP,1
48th  Assembly District,Carolyn Walton,OPP. TO BALLOT,REP,1
48th  Assembly District,Chaim Shlomo Abramovite,OPP. TO BALLOT,REP,1
48th  Assembly District,Dag Kin,OPP. TO BALLOT,REP,1
48th  Assembly District,Daniel D. Baumann,OPP. TO BALLOT,REP,1
48th  Assembly District,David Greenfield,OPP. TO BALLOT,REP,2
48th  Assembly District,David Schwartz,OPP. TO BALLOT,REP,16
48th  Assembly District,Donald Trump,OPP. TO BALLOT,REP,4
48th  Assembly District,Dov Hikind,OPP. TO BALLOT,REP,253
48th  Assembly District,Dwight Goupen,OPP. TO BALLOT,REP,1
48th  Assembly District,Frumet Schwartz,OPP. TO BALLOT,REP,1
48th  Assembly District,Hillary Clinton,OPP. TO BALLOT,REP,1
48th  Assembly District,Ivanka Trump,OPP. TO BALLOT,REP,1
48th  Assembly District,Jacob M. Sammell,OPP. TO BALLOT,REP,1
48th  Assembly District,M. Avigdor,OPP. TO BALLOT,REP,1
48th  Assembly District,Mark Theyger,OPP. TO BALLOT,REP,1
48th  Assembly District,Michael Blake,OPP. TO BALLOT,REP,1
48th  Assembly District,Michael Romersa,OPP. TO BALLOT,REP,1
48th  Assembly District,Mochael Fett,OPP. TO BALLOT,REP,1
48th  Assembly District,Mordecltai Avigdor,OPP. TO BALLOT,REP,1
48th  Assembly District,Morton M. Avigdor,OPP. TO BALLOT,REP,16
48th  Assembly District,Murdches Puisdur,OPP. TO BALLOT,REP,1
48th  Assembly District,Neal Adelstein,OPP. TO BALLOT,REP,1
48th  Assembly District,Noach Deer,OPP. TO BALLOT,REP,1
48th  Assembly District,Rachel E. Freier,OPP. TO BALLOT,REP,33
48th  Assembly District,Robert B. Axelrod,OPP. TO BALLOT,REP,1
48th  Assembly District,Rochelle Greier,OPP. TO BALLOT,REP,1
48th  Assembly District,Roth Moses,OPP. TO BALLOT,REP,1
