3rd  Senate District,,,,,,
,John M.,Joseph L.,Ricardo,,,
County,"De Vito, Jr.",Fritz,Montano,,,
,DEM,DEM,DEM,,,
Part of Suffolk,1390,1012,898,,,
9th  Senate District,,,,,,
,Laurence S.,Todd,,,,
County,Hirsh,Kaminsky,,,,
,,OPP. TO BALLOT,,,,
,GRE,GRE,,,,
Part of Nassau,23,16,,,,
10th  Senate District,,,,,,
,James,Adrienne E.,,,,
County,"Sanders, Jr.",Adams,,,,
,DEM,DEM,,,,
Part of Queens,5495,3988,,,,
16th  Senate District,,,,,,
,Toby Ann,S. J.,,,,
County,Stavisky,Jung,,,,
,DEM,DEM,,,,
Part of Queens,5690,3966,,,,
18th  Senate District,,,,,,
,Debbie,Martin Malave,,,,
County,Medina,Dilan,,,,
,DEM,DEM,,,,
Part of Kings,3988,5844,,,,
19th  Senate District,,,,,,
,Mercedes,Roxanne J.,,,,
County,Narcisse,Persaud,,,,
,DEM,DEM,,,,
Part of Kings,3284,10358,,,,
25th  Senate District,,,,,,
,Michael G.,Velmanette,,,,
County,Cox,Montgomery,,,,
,DEM,DEM,,,,
Part of Kings,4719,10579,,,,
28th  Senate District,,,,,,
,Michael,,,,,
County,Zumbluskas,,,,,
,OPP. TO BALLOT,,,,,
,WEP,,,,,
Part of New York,2,,,,,
31st  Senate District,,,,,,
,Robert,Marisol,Micah,Luis,,
County,Jackson,Alcantara,Lasher,Tejada,,
,DEM,DEM,DEM,DEM,,
Part of New York,7936,8469,8175,1316,,
32nd  Senate District,,,,,,
,Ruben,Elliot,,,,
County,"Diaz, Sr.",Quinones,,,,
,DEM,DEM,,,,
Part of Bronx,8557,1069,,,,
33rd  Senate District,,,,,,
,J. Gustavo,Fernando,,,,
County,Rivera,Cabrera,,,,
,DEM,DEM,,,,
Part of Bronx,6036,3549,,,,
36th  Senate District,,,,,,
,Edward A.,Jamaal T.,Alvin,Pamela A.,Que,
County,Mulraine,Bailey,Ponder,Hamilton-Johnson,English,
